title,img_src,link,author,publisher,price
서유기 1,https://bookthumb-phinf.pstatic.net/cover/163/306/16330642.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330642, 오승은,책에반하다,"10,800원"
서유기 2,https://bookthumb-phinf.pstatic.net/cover/163/306/16330646.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330646, 오승은,책에반하다,"10,800원"
어린왕자,https://bookthumb-phinf.pstatic.net/cover/163/445/16344544.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344544, 앙투안 드 생텍쥐페리,책에반하다,"9,000원"
지니어스 게임,https://bookthumb-phinf.pstatic.net/cover/163/274/16327422.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16327422, 레오폴도 가우트,"미래인(미래M&B,미래엠앤비)","12,600원"
게임으로 성군이 되자 9,https://bookthumb-phinf.pstatic.net/cover/163/496/16349611.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349611, 다물,어울림출판사,"7,200원"
컴백 무황 10,https://bookthumb-phinf.pstatic.net/cover/163/496/16349627.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349627, 길튼,어울림출판사,"7,200원"
폭군의 아이를 가졌습니다. 1,https://bookthumb-phinf.pstatic.net/cover/163/422/16342261.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342261, 류란,페리윙클,"10,620원"
폭군의 아이를 가졌습니다. 2,https://bookthumb-phinf.pstatic.net/cover/163/422/16342264.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342264, 류란,페리윙클,"10,620원"
폭군의 아이를 가졌습니다. 3,https://bookthumb-phinf.pstatic.net/cover/163/422/16342265.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342265, 류란,페리윙클,"10,620원"
다시 태어나도 그 놈은 피해라 7,https://bookthumb-phinf.pstatic.net/cover/163/496/16349621.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349621, 두경,어울림출판사,"7,200원"
영주학개론 10,https://bookthumb-phinf.pstatic.net/cover/163/496/16349625.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349625, 수호,어울림출판사,"7,200원"
폭군의 아이를 가졌습니다(세트)(전3권),https://bookthumb-phinf.pstatic.net/cover/163/422/16342250.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342250, 류란,페리윙클,"31,860원"
일식이가 간다 35,https://bookthumb-phinf.pstatic.net/cover/163/483/16348314.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348314, 이후,스카이북,"7,200원"
공주님은 공무 중,https://bookthumb-phinf.pstatic.net/cover/163/454/16345417.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345417, 피파 로스코,신영미디어,"4,680원"
나쁜 남자의 비즈니스,https://bookthumb-phinf.pstatic.net/cover/163/454/16345418.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345418, 야라 세인트 존,신영미디어,"4,680원"
더블 로열 스캔들,https://bookthumb-phinf.pstatic.net/cover/163/454/16345419.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345419, 린 그레이엄,신영미디어,"4,680원"
흑기사를 조심하세요,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345420, 레슬리 켈리,신영미디어,"4,680원"
중독자의 죽음,https://bookthumb-phinf.pstatic.net/cover/163/489/16348995.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348995, M.C. 비턴,현대문학,"8,820원"
반복되는 타임리프 끝에 네 눈동자에 비치는 사람은,https://bookthumb-phinf.pstatic.net/cover/163/492/16349212.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349212, 아오바 유이치,제우미디어,"11,520원"
행잉 가든(버티고 시리즈),https://bookthumb-phinf.pstatic.net/cover/163/500/16350086.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16350086, 이언 랜킨,오픈하우스,없음
소설 소태산,https://bookthumb-phinf.pstatic.net/cover/163/483/16348364.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348364, 이혜화,북바이북,"19,800원"
깨어나지 말 걸 그랬어(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338584.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338584, 김하림,고즈넉이엔티,"12,150원"
마귀(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338587.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338587, 전건우,고즈넉이엔티,"12,150원"
말괄량이 사이코패스(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338590.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338590, 기윤슬,고즈넉이엔티,"11,250원"
비행엄마(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/385/16338596.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338596, 이지은,고즈넉이엔티,"11,250원"
사라진 나라의 아이들(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/386/16338604.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338604, 이성진,고즈넉이엔티,"12,150원"
이레(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/386/16338607.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338607, 김달리,고즈넉이엔티,"12,150원"
행복배틀(케이 스릴러),https://bookthumb-phinf.pstatic.net/cover/163/386/16338610.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338610, 주영하,고즈넉이엔티,"12,150원"
나의 할머니에게,https://bookthumb-phinf.pstatic.net/cover/163/474/16347469.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16347469, 윤성희,다산책방,"13,320원"
실비/오렐리아,https://bookthumb-phinf.pstatic.net/cover/163/492/16349281.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349281, 제라르 드 네르발,문학과지성사,"9,000원"
다행인지 불행인지 1,https://bookthumb-phinf.pstatic.net/cover/163/388/16338820.jpg?type=m1&udate=Sun May 10 14:13:33 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338820, 노희다,연담,"11,700원"
꽃잎처럼,https://bookthumb-phinf.pstatic.net/cover/163/487/16348795.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348795, 정도상,다산책방,"12,600원"
